id,value,feed_id,created_at,lat,lon,ele
0EK37F66HBHDS4H3XFA8QA1510,25.937498,1431472,2020-11-09 18:36:25 UTC,,,
0EK37FTWA0MEFZ42Y6S1APK7PE,25.717772,1431472,2020-11-09 18:37:33 UTC,,,
0EK37HRJ3K2SH77ZNNVJ111ZFF,26.025391,1431472,2020-11-09 18:40:55 UTC,,,
0EK37J58782AT0YBQ0B8MWYA04,29.628902,1431472,2020-11-09 18:41:37 UTC,,,
0EK37JA6ZBTA3DB63RJ0VQP5T3,29.936523,1431472,2020-11-09 18:41:53 UTC,,,
0EK37JFB2QSKNVSMWT001164FZ,29.980469,1431472,2020-11-09 18:42:10 UTC,,,
0EK37JMZJ464VX6K64F62PAVB7,30.068356,1431472,2020-11-09 18:42:28 UTC,,,
0EK4SNYG6R7K0GWRX8MF11MWZB,24.487305,1431472,2020-11-11 17:24:26 UTC,,,
0EK4SP8MRT45V3Q68EPPVVNP60,28.090816,1431472,2020-11-11 17:24:59 UTC,,,
0EK4TCTVMXD60MAVWRJDTD1P71,24.355465,1431472,2020-11-11 18:04:26 UTC,,,
0EK4TY0Y6FTKFQFX3ENY26H576,24.223631,1431472,2020-11-11 18:34:28 UTC,,,
0EK4TY2Z6HK9G6XKBS3WZFTV6K,24.223631,1431472,2020-11-11 18:34:35 UTC,,,
0EK4TY7T2AGG7ZPK6KNVA40VGQ,29.628902,1431472,2020-11-11 18:34:51 UTC,,,
0EK4TYAZQDJV17ZRJ72FY8P0VC,28.530270,1431472,2020-11-11 18:35:01 UTC,,,
0EK4TYEP7MCXMH4ZKQKJMTPDAD,27.651363,1431472,2020-11-11 18:35:13 UTC,,,
0EK4TZ7DN060VM5BWMS8MQJ22T,24.531246,1431472,2020-11-11 18:36:34 UTC,,,
0EK4VF8X73D5KFF0RPX5H5YHF7,24.267578,1431472,2020-11-11 19:04:37 UTC,,,


